Start datetime,2024-05-28 23:35:14
Episode,Reward
0,2.0
1,0.0
2,1.0
3,1.0
4,-1.0
5,1.0
6,1.0
7,3.0
8,2.0
9,-1.0
10,5.0
11,1.0
12,-1.0
13,-1.0
14,3.0
15,-1.0
16,-1.0
17,-1.0
18,3.0
19,1.0
20,2.0
21,-1.0
22,-1.0
23,2.0
24,2.0
25,1.0
26,2.0
27,0.0
28,4.0
29,3.0
30,1.0
31,0.0
32,1.0
33,-1.0
34,1.0
35,2.0
36,-1.0
37,-1.0
38,-1.0
39,-1.0
40,-1.0
41,-1.0
42,-1.0
43,-1.0
44,-1.0
45,-1.0
46,-1.0
47,0.0
48,0.0
49,1.0
50,2.0
51,0.0
52,3.0
53,1.0
54,4.0
55,2.0
56,3.0
57,-1.0
58,-1.0
59,1.0
60,1.0
61,3.0
62,2.0
63,1.0
64,0.0
65,0.0
66,0.0
67,1.0
68,0.0
69,-1.0
70,-1.0
71,-1.0
72,-1.0
73,-1.0
74,-1.0
75,-1.0
76,-1.0
77,-1.0
78,-1.0
79,-1.0
80,-1.0
81,-1.0
82,3.0
83,-1.0
84,5.0
85,2.0
86,3.0
87,1.0
88,2.0
89,0.0
90,3.0
91,1.0
92,2.0
93,-1.0
94,2.0
95,0.0
96,3.0
97,3.0
98,4.0
99,0.0
100,1.0
101,2.0
102,3.0
103,0.0
104,4.0
105,1.0
106,1.0
107,4.0
108,2.0
109,-1.0
110,2.0
111,2.0
112,1.0
113,1.0
114,2.0
115,3.0
116,0.0
117,1.0
118,0.0
119,2.0
120,1.0
121,5.0
122,0.0
123,3.0
124,4.0
125,-1.0
126,4.0
127,2.0
128,0.0
129,4.0
130,2.0
131,2.0
132,1.0
133,4.0
134,3.0
135,1.0
136,2.0
137,1.0
138,-1.0
139,2.0
140,2.0
141,3.0
142,3.0
143,1.0
144,3.0
145,2.0
146,2.0
147,0.0
148,0.0
149,0.0
150,-1.0
151,-1.0
152,2.0
153,1.0
154,1.0
155,1.0
156,0.0
157,2.0
158,0.0
159,2.0
160,1.0
161,0.0
162,1.0
163,1.0
164,3.0
165,3.0
166,0.0
167,1.0
168,5.0
169,4.0
170,0.0
171,2.0
172,4.0
173,1.0
174,2.0
175,3.0
176,-1.0
177,3.0
178,4.0
179,1.0
180,3.0
181,3.0
182,0.0
183,3.0
184,2.0
185,2.0
186,0.0
187,0.0
188,-1.0
189,3.0
190,0.0
191,0.0
192,3.0
193,3.0
194,1.0
195,2.0
196,1.0
197,0.0
198,3.0
199,1.0
200,1.0
201,3.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,3.0
208,1.0
209,-1.0
210,2.0
211,1.0
212,1.0
213,0.0
214,0.0
215,2.0
216,2.0
217,2.0
218,1.0
219,2.0
220,1.0
221,-1.0
222,0.0
223,2.0
224,1.0
225,2.0
226,0.0
227,1.0
228,2.0
229,2.0
230,3.0
231,2.0
232,2.0
233,0.0
234,0.0
235,1.0
236,0.0
237,5.0
238,-1.0
239,1.0
240,1.0
241,1.0
242,5.0
243,3.0
244,0.0
245,1.0
246,3.0
247,3.0
248,-1.0
249,3.0
250,1.0
251,-1.0
252,2.0
253,1.0
254,0.0
255,1.0
256,-1.0
257,2.0
258,0.0
259,0.0
260,3.0
261,1.0
262,1.0
263,0.0
264,0.0
265,0.0
266,1.0
267,3.0
268,0.0
269,3.0
270,1.0
271,4.0
272,3.0
273,-1.0
274,0.0
275,2.0
276,-1.0
277,0.0
278,3.0
279,-1.0
280,0.0
281,3.0
282,2.0
283,3.0
284,1.0
285,3.0
286,2.0
287,2.0
288,5.0
289,3.0
290,2.0
291,-1.0
292,3.0
293,1.0
294,-1.0
295,3.0
296,4.0
297,-1.0
298,-1.0
299,4.0
300,1.0
301,2.0
302,3.0
303,2.0
304,0.0
305,0.0
306,3.0
307,1.0
308,-1.0
309,-1.0
310,-1.0
311,-1.0
312,-1.0
313,-1.0
314,0.0
315,0.0
316,2.0
317,2.0
318,2.0
319,3.0
320,1.0
321,3.0
322,2.0
323,1.0
324,2.0
325,-1.0
326,-1.0
327,-1.0
328,-1.0
329,-1.0
330,-1.0
331,-1.0
332,-1.0
333,-1.0
334,-1.0
335,-1.0
336,-1.0
337,-1.0
338,-1.0
339,-1.0
340,-1.0
341,-1.0
342,-1.0
343,-1.0
344,-1.0
345,-1.0
346,-1.0
347,-1.0
348,-1.0
349,-1.0
350,-1.0
351,-1.0
352,-1.0
353,-1.0
354,-1.0
355,-1.0
356,-1.0
357,-1.0
358,-1.0
359,-1.0
360,-1.0
361,-1.0
362,-1.0
363,-1.0
364,-1.0
365,-1.0
366,-1.0
367,-1.0
368,-1.0
369,-1.0
370,-1.0
371,-1.0
372,-1.0
373,-1.0
374,-1.0
375,-1.0
376,-1.0
377,-1.0
378,-1.0
379,-1.0
380,-1.0
381,-1.0
382,-1.0
383,-1.0
384,-1.0
385,-1.0
386,-1.0
387,-1.0
388,-1.0
389,-1.0
390,-1.0
391,-1.0
392,-1.0
393,-1.0
394,-1.0
395,-1.0
396,-1.0
397,-1.0
398,-1.0
399,-1.0
400,-1.0
401,-1.0
402,-1.0
403,-1.0
404,-1.0
405,-1.0
406,-1.0
407,-1.0
408,-1.0
409,-1.0
410,-1.0
411,-1.0
412,-1.0
413,-1.0
414,-1.0
415,-1.0
416,-1.0
417,-1.0
418,-1.0
419,-1.0
420,-1.0
421,-1.0
422,-1.0
423,-1.0
424,-1.0
425,-1.0
426,-1.0
427,-1.0
428,-1.0
429,-1.0
430,-1.0
431,-1.0
432,-1.0
433,-1.0
434,-1.0
435,-1.0
436,-1.0
437,-1.0
438,-1.0
439,-1.0
440,-1.0
441,-1.0
442,-1.0
443,-1.0
444,-1.0
445,-1.0
446,-1.0
447,-1.0
448,-1.0
449,-1.0
450,-1.0
451,-1.0
452,-1.0
453,-1.0
454,-1.0
455,-1.0
456,-1.0
457,-1.0
458,-1.0
459,-1.0
460,-1.0
461,-1.0
462,-1.0
463,-1.0
464,-1.0
465,-1.0
466,-1.0
467,-1.0
468,-1.0
469,-1.0
470,-1.0
471,-1.0
472,-1.0
473,-1.0
474,-1.0
475,-1.0
476,-1.0
477,-1.0
478,-1.0
479,-1.0
480,-1.0
481,-1.0
482,-1.0
483,-1.0
484,-1.0
485,-1.0
486,-1.0
487,-1.0
488,-1.0
489,-1.0
490,-1.0
491,-1.0
492,-1.0
493,-1.0
494,-1.0
495,-1.0
496,-1.0
497,-1.0
498,-1.0
499,-1.0
500,-1.0
501,-1.0
502,-1.0
503,-1.0
504,-1.0
505,-1.0
506,-1.0
507,-1.0
508,-1.0
509,-1.0
510,-1.0
511,-1.0
512,-1.0
513,-1.0
514,-1.0
515,-1.0
516,-1.0
517,-1.0
518,-1.0
519,-1.0
520,-1.0
521,-1.0
522,0.0
523,-1.0
524,0.0
525,1.0
526,-1.0
527,0.0
528,-1.0
529,1.0
530,3.0
531,3.0
532,2.0
533,2.0
534,1.0
535,3.0
536,3.0
537,4.0
538,2.0
539,2.0
540,3.0
541,2.0
542,2.0
543,3.0
544,2.0
545,1.0
546,3.0
547,1.0
548,3.0
549,3.0
550,4.0
551,3.0
552,2.0
553,3.0
554,3.0
555,3.0
556,2.0
557,3.0
558,2.0
559,3.0
560,2.0
561,3.0
562,1.0
563,2.0
564,4.0
565,2.0
566,3.0
567,4.0
568,1.0
569,1.0
570,4.0
571,0.0
572,3.0
573,4.0
574,4.0
575,3.0
576,1.0
577,3.0
578,3.0
579,1.0
580,2.0
581,3.0
End datetime,2024-05-29 01:17:13
