#{"t_start": 1720458983.9578722, "env_id": "VizdoomDefendCenter-v0"}
r,l,t
0.0,77,3.660254
3.0,127,3.695161
1.0,77,3.716411
0.0,82,3.739008
-1.0,78,3.761256
1.0,83,3.783871
0.0,86,3.80744
2.0,107,3.83726
1.0,73,3.857514
3.0,103,3.885664
0.0,66,3.903924
0.0,93,3.929866
-1.0,63,3.94731
0.0,78,3.968636
2.0,112,3.999131
0.0,54,4.014081
0.0,77,4.035297
1.0,81,4.057446
1.0,107,4.086458
0.0,96,4.112653
-1.0,68,4.131431
-1.0,53,4.146122
-1.0,74,4.16635
0.0,100,4.193825
0.0,57,4.209608
-1.0,58,4.225718
3.0,106,4.254653
-1.0,52,4.269048
-1.0,58,4.285134
1.0,99,4.31197
-1.0,78,4.333251
0.0,88,4.357056
0.0,90,4.381831
-1.0,64,4.399376
0.0,80,4.421188
0.0,77,4.442281
1.0,102,4.470656
-1.0,78,4.492022
0.0,64,4.509557
-1.0,68,4.528215
-1.0,78,4.549634
-1.0,82,4.571968
0.0,103,4.600722
1.0,82,4.62315
1.0,107,4.652364
0.0,77,4.673507
-1.0,78,4.694757
1.0,97,4.720944
-1.0,96,4.747163
0.0,96,4.773456
0.0,59,4.789722
0.0,67,4.808202
1.0,81,4.830722
0.0,81,4.852766
0.0,60,4.869222
-1.0,78,4.890542
0.0,74,4.910767
1.0,82,4.933172
1.0,117,4.964949
0.0,82,4.987401
0.0,86,5.011042
-1.0,90,8.123372
0.0,74,8.144209
0.0,72,8.164008
-1.0,68,8.182796
0.0,79,8.204484
-1.0,73,8.224518
0.0,84,8.24731
-1.0,65,8.265277
-1.0,73,8.285304
-1.0,61,8.302159
0.0,69,8.320994
-1.0,69,8.339954
-1.0,80,8.361832
0.0,87,8.385969
1.0,73,8.405827
1.0,85,8.429089
0.0,70,8.448214
0.0,79,8.46985
0.0,81,8.491978
0.0,85,8.515112
1.0,103,8.542929
1.0,82,8.565325
1.0,77,8.586382
-1.0,90,8.611041
0.0,94,8.63694
-1.0,81,8.659699
-1.0,53,8.674413
-1.0,59,8.690803
2.0,109,8.720553
2.0,90,8.745003
-1.0,70,8.764145
1.0,86,8.787899
1.0,114,8.819034
-1.0,70,8.838332
1.0,89,8.862563
2.0,89,8.886854
1.0,89,8.91106
2.0,115,8.942251
1.0,105,8.97071
-1.0,70,8.990122
1.0,103,9.018146
0.0,96,9.044308
-1.0,70,9.063499
0.0,61,9.080458
1.0,81,9.102601
0.0,80,9.124437
0.0,96,9.1505
1.0,103,9.178589
-1.0,80,9.20048
1.0,76,9.221259
1.0,84,9.244256
0.0,52,9.258807
0.0,79,9.280525
0.0,72,9.300232
0.0,94,9.325752
0.0,92,9.350924
0.0,62,9.367989
1.0,89,9.392266
1.0,109,9.421926
-1.0,58,9.438069
0.0,65,9.455974
1.0,93,10.109139
0.0,83,10.132247
-1.0,66,10.150568
-1.0,65,10.168443
0.0,90,10.193489
1.0,90,10.21806
0.0,100,10.245627
1.0,77,10.266589
-1.0,59,10.282818
-1.0,77,10.303805
1.0,82,10.326409
0.0,77,10.347475
-1.0,66,10.365565
-1.0,61,10.382336
0.0,100,10.409543
-1.0,76,10.430262
0.0,52,10.444679
1.0,96,10.47067
-1.0,56,10.486206
1.0,100,10.513418
0.0,86,10.536785
1.0,97,10.563378
0.0,70,10.582725
-1.0,81,10.604816
0.0,100,10.631988
0.0,100,10.65918
2.0,98,10.686126
0.0,62,10.703355
0.0,78,10.724689
0.0,81,10.746724
-1.0,64,10.764408
1.0,88,10.788923
1.0,109,10.818641
2.0,122,10.851744
0.0,85,10.875068
0.0,85,10.898186
0.0,62,10.915285
1.0,105,10.943878
-1.0,84,10.966969
1.0,99,10.99386
0.0,76,11.014827
0.0,73,11.034911
2.0,107,11.064052
0.0,88,11.088057
-1.0,65,11.105976
0.0,74,11.126334
0.0,76,11.147345
1.0,68,11.16594
1.0,97,11.19241
0.0,70,11.211558
-1.0,88,11.235772
0.0,76,11.256535
2.0,122,11.289562
-1.0,71,11.308994
-1.0,74,11.329386
0.0,58,11.345283
1.0,101,11.372845
1.0,112,11.403468
1.0,61,11.420474
2.0,115,11.451566
1.0,65,11.913023
-1.0,54,11.928185
0.0,76,11.949368
1.0,91,11.974427
1.0,87,11.998282
0.0,77,12.019316
-1.0,71,12.039224
-1.0,83,12.061852
3.0,110,12.091651
0.0,58,12.107642
-1.0,62,12.124844
0.0,84,12.147655
-1.0,73,12.168004
-1.0,59,12.184332
1.0,70,12.203652
-1.0,57,12.219389
-1.0,81,12.241736
0.0,83,12.264371
1.0,92,12.289571
0.0,101,12.317132
0.0,85,12.340371
1.0,81,12.362654
-1.0,69,12.381701
0.0,92,12.406835
2.0,111,12.437076
2.0,81,12.459185
1.0,84,12.482234
0.0,73,12.502649
-1.0,88,12.527412
0.0,86,12.551048
-1.0,74,12.571406
-1.0,70,12.590593
-1.0,56,12.606089
0.0,89,12.630147
0.0,74,12.650775
1.0,102,12.678717
0.0,78,12.700012
0.0,98,12.726549
1.0,88,12.750688
1.0,105,12.779078
0.0,73,12.799024
1.0,78,12.820366
0.0,76,12.841313
1.0,69,12.860182
-1.0,58,12.87624
2.0,97,12.902456
0.0,95,12.929194
-1.0,84,12.95225
1.0,83,12.974879
1.0,82,12.997267
2.0,91,13.022266
-1.0,79,13.043827
0.0,67,13.062212
-1.0,71,13.081707
1.0,100,13.10909
-1.0,52,13.123512
-1.0,58,13.139481
1.0,102,13.167382
-1.0,66,13.185671
-1.0,74,13.205958
0.0,57,13.221683
-1.0,57,13.237436
0.0,68,13.256291
1.0,56,13.27174
0.0,69,13.688677
0.0,77,13.710097
0.0,81,13.732577
0.0,63,13.750083
2.0,120,13.782749
1.0,70,13.802021
1.0,94,13.827772
0.0,67,13.846274
0.0,70,13.865517
1.0,82,13.887774
1.0,97,13.914311
-1.0,66,13.932482
-1.0,72,13.952221
1.0,100,13.97951
0.0,83,14.002487
0.0,97,14.029022
0.0,100,14.056077
-1.0,55,14.071779
1.0,103,14.100223
1.0,66,14.118464
1.0,110,14.148276
1.0,111,14.178376
-1.0,76,14.199354
0.0,96,14.225522
0.0,67,14.243933
0.0,72,14.263726
2.0,105,14.292557
0.0,70,14.311999
-1.0,62,14.329146
0.0,92,14.354403
0.0,51,14.368612
1.0,81,14.390804
0.0,74,14.411009
0.0,80,14.43288
-1.0,83,14.455701
0.0,71,14.475256
-1.0,73,14.495203
-1.0,62,14.51228
1.0,112,14.542957
-1.0,62,14.560107
1.0,84,14.582954
0.0,90,14.60762
0.0,90,14.632326
0.0,74,14.653106
1.0,78,14.674491
-1.0,78,14.695852
-1.0,67,14.714395
0.0,54,14.729416
0.0,73,14.749408
0.0,86,14.772873
0.0,71,14.792794
-1.0,58,14.809032
0.0,75,14.830063
0.0,81,14.852233
2.0,110,14.882458
0.0,81,14.904792
-1.0,68,14.923464
0.0,69,14.9424
-1.0,57,14.958299
0.0,87,14.982007
-1.0,75,15.002978
-1.0,74,15.023244
0.0,60,15.039838
0.0,85,15.459248
-1.0,68,15.47815
1.0,93,15.503518
0.0,94,15.529246
1.0,76,15.550035
-1.0,73,15.570312
0.0,60,15.586821
-1.0,87,15.610608
-1.0,65,15.628458
-1.0,58,15.645208
-1.0,73,15.665272
1.0,104,15.693745
0.0,64,15.711305
0.0,92,15.736927
1.0,98,15.763619
0.0,87,15.787612
0.0,92,15.812597
-1.0,76,15.833354
0.0,80,15.855223
1.0,77,15.876379
1.0,91,15.901402
0.0,105,15.92996
1.0,95,15.95576
-1.0,80,15.977743
0.0,53,15.992642
1.0,83,16.015346
1.0,91,16.040091
1.0,98,16.067091
-1.0,81,16.089224
3.0,109,16.118957
1.0,79,16.140678
-1.0,62,16.157959
-1.0,72,16.177752
1.0,106,16.206589
2.0,115,16.237882
1.0,89,16.26248
1.0,81,16.284714
1.0,97,16.310936
5.0,148,16.351256
0.0,92,16.376559
1.0,77,16.397784
1.0,114,16.428725
0.0,74,16.449022
1.0,91,16.473925
0.0,59,16.490144
-1.0,74,16.510465
-1.0,76,16.531291
-1.0,79,16.553117
0.0,75,16.573661
0.0,74,16.593932
0.0,85,16.617224
0.0,62,16.634385
0.0,91,16.659177
0.0,69,16.678095
0.0,83,16.700899
0.0,61,16.717891
0.0,83,16.74074
1.0,83,16.76337
0.0,84,16.786795
3.0,110,16.816956
1.0,98,17.272991
1.0,87,17.29709
0.0,85,17.320508
-1.0,69,17.339591
1.0,95,17.365559
0.0,68,17.384178
-1.0,86,17.407643
2.0,104,17.436111
0.0,81,17.458199
0.0,60,17.474834
-1.0,72,17.49459
2.0,117,17.526441
0.0,76,17.547483
2.0,99,17.574605
-1.0,64,17.592194
0.0,70,17.611534
1.0,73,17.631571
0.0,90,17.656749
0.0,76,17.677649
1.0,84,17.700688
1.0,69,17.719649
-1.0,56,17.735094
0.0,99,17.762053
0.0,73,17.782265
0.0,90,17.806874
-1.0,62,17.823991
0.0,75,17.844485
-1.0,77,17.865612
1.0,102,17.89347
0.0,62,17.910658
1.0,99,17.937495
0.0,93,17.962919
0.0,85,17.986138
0.0,80,18.008058
0.0,65,18.025931
1.0,56,18.041491
0.0,95,18.067374
-1.0,73,18.087376
0.0,66,18.10561
0.0,81,18.127969
1.0,84,18.151014
1.0,100,18.178225
-1.0,83,18.200961
-1.0,61,18.217868
-1.0,68,18.236568
0.0,83,18.259407
0.0,67,18.277912
0.0,97,18.304458
0.0,71,18.323962
0.0,52,18.338345
0.0,68,18.356891
0.0,82,18.37943
-1.0,76,18.400192
1.0,75,18.420703
1.0,82,18.443168
0.0,82,18.465677
-1.0,64,18.483345
-1.0,71,18.502852
1.0,95,18.528709
1.0,102,18.556621
0.0,89,18.580861
1.0,92,18.605984
-1.0,64,18.623672
0.0,64,19.073043
0.0,81,19.095321
0.0,86,19.11893
-1.0,68,19.137604
0.0,104,19.165982
1.0,90,19.190483
1.0,83,19.213292
0.0,96,19.23963
0.0,64,19.257337
0.0,73,19.277452
0.0,71,19.296959
1.0,111,19.327337
1.0,86,19.350943
-1.0,79,19.372676
1.0,73,19.392616
0.0,72,19.412259
0.0,89,19.436724
-1.0,66,19.45491
0.0,91,19.479701
0.0,104,19.507953
1.0,86,19.531523
-1.0,58,19.547538
-1.0,83,19.57016
1.0,98,19.596834
0.0,70,19.616085
0.0,89,19.640181
0.0,89,19.66475
-1.0,81,19.686934
-1.0,79,19.708812
-1.0,66,19.727011
-1.0,69,19.745984
0.0,64,19.76361
-1.0,59,19.78009
-1.0,50,19.794082
-1.0,62,19.811225
-1.0,74,19.831489
1.0,86,19.855217
-1.0,78,19.87654
1.0,94,19.902161
2.0,107,19.931256
1.0,64,19.949204
-1.0,57,19.965108
1.0,98,19.991787
-1.0,75,20.012339
1.0,97,20.039145
0.0,78,20.060533
-1.0,74,20.080813
-1.0,54,20.095853
0.0,99,20.12277
0.0,84,20.145754
-1.0,79,20.167344
0.0,67,20.185742
0.0,51,20.199974
1.0,91,20.224654
2.0,102,20.252316
0.0,95,20.278352
0.0,83,20.301201
0.0,89,20.325588
-1.0,83,20.348259
0.0,74,20.368485
0.0,99,20.395634
-1.0,75,20.416144
-1.0,54,20.904009
3.0,131,20.939701
-1.0,69,20.958917
-1.0,79,20.980529
0.0,103,21.008518
-1.0,94,21.03411
1.0,82,21.05714
0.0,100,21.084389
0.0,79,21.105922
0.0,70,21.125132
-1.0,69,21.144238
-1.0,69,21.163178
2.0,93,21.188575
2.0,83,21.211285
0.0,93,21.23679
1.0,107,21.265744
0.0,76,21.286548
-1.0,60,21.303104
-1.0,58,21.319202
1.0,93,21.344442
2.0,85,21.367725
0.0,70,21.386999
0.0,67,21.405589
-1.0,48,21.418971
-1.0,58,21.434932
-1.0,82,21.457304
2.0,107,21.48657
-1.0,58,21.502611
-1.0,62,21.519623
0.0,91,21.544509
1.0,95,21.570505
1.0,62,21.58766
-1.0,78,21.608962
0.0,74,21.629275
-1.0,62,21.646497
0.0,68,21.66539
-1.0,75,21.692408
1.0,100,21.72364
-1.0,67,21.742196
1.0,90,21.766602
0.0,86,21.79012
-1.0,72,21.809865
0.0,73,21.829894
0.0,85,21.853022
0.0,80,21.874715
1.0,76,21.895383
0.0,68,21.914354
0.0,84,21.937265
-1.0,63,21.954663
0.0,82,21.977173
0.0,84,22.000108
-1.0,63,22.017484
2.0,103,22.0455
-1.0,56,22.061047
3.0,124,22.094856
1.0,99,22.121778
0.0,69,22.140756
0.0,81,22.162869
-1.0,55,22.178205
1.0,116,22.209654
-1.0,82,22.232098
0.0,70,22.251222
-1.0,76,22.272117
1.0,72,22.726684
-1.0,58,22.743082
0.0,86,22.766632
-1.0,104,22.795235
0.0,101,22.822766
1.0,88,22.846808
-1.0,65,22.865384
1.0,90,22.890169
0.0,69,22.909063
0.0,64,22.92662
1.0,96,22.952797
-1.0,61,22.969751
0.0,78,22.991032
-1.0,85,23.01442
-1.0,62,23.031492
0.0,111,23.061682
0.0,89,23.087097
0.0,86,23.111242
0.0,81,23.133517
-1.0,72,23.153346
1.0,104,23.181519
1.0,95,23.207246
0.0,80,23.229059
1.0,81,23.251265
-1.0,81,23.273284
0.0,77,23.294266
0.0,94,23.319763
0.0,65,23.337939
0.0,72,23.357829
1.0,102,23.385628
0.0,68,23.404285
1.0,79,23.426039
1.0,59,23.442354
1.0,68,23.460948
3.0,102,23.488992
0.0,84,23.512278
1.0,108,23.54179
0.0,84,23.564937
1.0,103,23.593112
1.0,102,23.621248
0.0,73,23.641388
1.0,62,23.65904
-1.0,65,23.677008
0.0,77,23.698163
0.0,76,23.718984
-1.0,70,23.738239
-1.0,54,23.753124
2.0,107,23.782277
0.0,59,23.798507
-1.0,68,23.817226
1.0,91,23.842017
1.0,89,23.866305
-1.0,57,23.882007
0.0,69,23.900963
0.0,69,23.919779
-1.0,76,23.940574
0.0,61,23.957401
3.0,110,23.987374
0.0,80,24.009366
0.0,81,24.031609
0.0,77,24.052644
0.0,72,24.07236
-1.0,53,24.087102
1.0,76,24.511735
0.0,54,24.526871
0.0,68,24.545597
1.0,101,24.573207
4.0,122,24.606811
-1.0,70,24.626012
1.0,92,24.651304
0.0,83,24.674127
0.0,83,24.6972
-1.0,69,24.716157
0.0,79,24.737716
0.0,106,24.766672
1.0,93,24.792059
0.0,97,24.818483
1.0,95,24.844443
0.0,76,24.865209
-1.0,56,24.880761
-1.0,78,24.902108
-1.0,76,24.922948
0.0,82,24.945402
0.0,82,24.96796
1.0,69,24.986849
1.0,71,25.006175
-1.0,82,25.028741
2.0,96,25.054994
-1.0,68,25.07373
0.0,84,25.096783
1.0,95,25.122536
0.0,88,25.146681
-1.0,58,25.162652
0.0,71,25.182017
-1.0,55,25.197361
-1.0,65,25.215308
0.0,82,25.237789
0.0,77,25.258888
-1.0,70,25.278085
1.0,85,25.301427
-1.0,80,25.323222
1.0,94,25.348965
-1.0,56,25.364573
-1.0,61,25.381562
-1.0,61,25.398366
-1.0,71,25.417986
1.0,82,25.440352
0.0,58,25.456279
1.0,77,25.477198
0.0,95,25.50276
-1.0,58,25.518601
-1.0,70,25.537649
0.0,67,25.555866
-1.0,99,25.582594
2.0,96,25.60842
0.0,96,25.634475
-1.0,62,25.651359
-1.0,61,25.66799
0.0,66,25.686125
0.0,75,25.70663
0.0,70,25.725585
0.0,57,25.741161
0.0,85,25.764232
3.0,125,25.798067
-1.0,87,25.821554
0.0,70,25.8406
-1.0,56,25.855962
2.0,128,26.283124
3.0,112,26.313537
0.0,80,26.335264
1.0,84,26.357986
2.0,109,26.38751
0.0,60,26.403982
1.0,100,26.431152
-1.0,72,26.450717
0.0,87,26.474428
1.0,86,26.497558
-1.0,85,26.520536
-1.0,62,26.537372
1.0,115,26.56834
1.0,89,26.592307
-1.0,61,26.60916
-1.0,62,26.626109
-1.0,70,26.645391
0.0,95,26.671201
0.0,86,26.694645
-1.0,60,26.711051
1.0,93,26.736161
1.0,94,26.76143
-1.0,78,26.78254
0.0,93,26.807611
-1.0,77,26.829277
1.0,104,26.857517
2.0,98,26.88417
-1.0,71,26.903566
0.0,63,26.921072
1.0,88,26.944726
-1.0,52,26.958963
0.0,52,26.973368
0.0,76,26.994206
1.0,104,27.022194
2.0,112,27.053903
-1.0,64,27.076083
1.0,103,27.10773
0.0,87,27.131255
0.0,83,27.154213
0.0,95,27.18087
1.0,82,27.203376
0.0,69,27.222095
0.0,81,27.244233
0.0,77,27.265018
-1.0,49,27.278666
-1.0,76,27.299281
0.0,75,27.319722
1.0,74,27.339821
1.0,101,27.367257
1.0,98,27.393717
0.0,64,27.41118
-1.0,62,27.428068
-1.0,66,27.446212
0.0,99,27.472924
-1.0,63,27.490269
2.0,114,27.521045
1.0,106,27.549767
-1.0,76,27.570464
1.0,112,27.600603
0.0,76,27.621322
2.0,108,28.08938
0.0,71,28.108775
0.0,85,28.13186
0.0,66,28.149734
0.0,83,28.172306
0.0,91,28.19694
0.0,70,28.216081
1.0,105,28.244628
0.0,68,28.26334
1.0,86,28.286791
-1.0,71,28.306064
2.0,89,28.330352
0.0,82,28.352769
1.0,82,28.375023
1.0,89,28.399036
0.0,67,28.417385
0.0,80,28.439129
0.0,60,28.455735
0.0,66,28.4736
-1.0,64,28.491081
1.0,69,28.509944
-1.0,68,28.528447
-1.0,69,28.547248
0.0,78,28.568444
0.0,53,28.58314
0.0,80,28.604857
1.0,97,28.630965
0.0,73,28.651031
0.0,93,28.676754
1.0,62,28.694388
0.0,67,28.712635
-1.0,81,28.73463
0.0,102,28.762176
0.0,98,28.788768
-1.0,63,28.805975
2.0,110,28.83555
0.0,73,28.85541
1.0,105,28.883777
-1.0,81,28.905791
0.0,62,28.92273
0.0,92,28.947798
0.0,68,28.966452
1.0,103,28.994282
1.0,88,29.018139
1.0,105,29.046734
0.0,73,29.066618
1.0,105,29.095011
0.0,64,29.112529
1.0,84,29.135376
0.0,63,29.152534
-1.0,65,29.170228
0.0,68,29.188792
-1.0,65,29.206679
-1.0,65,29.224434
0.0,64,29.241921
0.0,73,29.261802
-1.0,67,29.280236
1.0,94,29.305529
0.0,68,29.323995
0.0,106,29.352379
0.0,95,29.378226
0.0,102,29.405771
1.0,103,29.818095
0.0,63,29.835907
0.0,81,29.858107
1.0,75,29.878541
1.0,109,29.907739
0.0,65,29.925627
0.0,69,29.944576
-1.0,75,29.964973
2.0,100,29.991916
0.0,75,30.012226
0.0,80,30.033916
-1.0,77,30.054776
1.0,104,30.082953
1.0,80,30.104632
-1.0,56,30.120132
0.0,73,30.139872
-1.0,62,30.156809
2.0,98,30.183295
3.0,109,30.212736
1.0,74,30.232897
-1.0,78,30.25389
0.0,64,30.27143
1.0,84,30.294282
0.0,71,30.313706
0.0,82,30.335788
0.0,80,30.357591
3.0,108,30.386936
0.0,106,30.415641
-1.0,70,30.434707
2.0,87,30.458318
0.0,81,30.480475
-1.0,72,30.500114
1.0,98,30.526738
-1.0,63,30.545648
2.0,105,30.574995
0.0,84,30.59782
0.0,90,30.622016
0.0,70,30.641819
-1.0,71,30.661411
1.0,86,30.68496
-1.0,68,30.703454
-1.0,67,30.721898
0.0,72,30.741848
0.0,72,30.761398
-1.0,64,30.778846
1.0,85,30.801851
-1.0,85,30.825149
0.0,90,30.849425
0.0,73,30.869164
1.0,100,30.896207
1.0,99,30.923128
0.0,66,30.941059
1.0,93,30.96609
1.0,96,30.992072
0.0,58,31.007988
1.0,73,31.027768
-1.0,59,31.043965
0.0,64,31.061318
2.0,80,31.083069
1.0,98,31.110376
0.0,71,31.130629
0.0,78,31.151717
-1.0,77,31.172666
-1.0,61,31.59928
1.0,100,31.626452
0.0,72,31.646102
-1.0,70,31.665303
1.0,58,31.681747
1.0,98,31.708892
1.0,101,31.73625
0.0,92,31.761287
0.0,90,31.785653
0.0,73,31.805542
-1.0,62,31.822422
0.0,76,31.84308
0.0,64,31.860555
0.0,79,31.881972
-1.0,60,31.898419
3.0,98,31.925148
0.0,103,31.953588
-1.0,80,31.975231
1.0,90,31.999612
1.0,79,32.02128
-1.0,81,32.043353
-1.0,61,32.060037
0.0,47,32.072995
0.0,75,32.093409
0.0,80,32.11503
1.0,65,32.132752
1.0,82,32.155084
0.0,72,32.174877
2.0,97,32.201039
0.0,70,32.220133
0.0,93,32.245186
1.0,108,32.274379
-1.0,87,32.297938
0.0,75,32.318167
-1.0,75,32.33855
0.0,73,32.35853
-1.0,66,32.376487
1.0,112,32.406545
0.0,99,32.43322
-1.0,52,32.44764
-1.0,59,32.463791
0.0,78,32.484945
0.0,69,32.503646
1.0,65,32.521554
0.0,68,32.540125
-1.0,71,32.559426
1.0,82,32.58169
0.0,97,32.608019
2.0,101,32.635189
1.0,88,32.658993
-1.0,91,32.684017
0.0,72,32.704372
2.0,117,32.73596
0.0,71,32.755442
-1.0,71,32.774894
0.0,71,32.794335
1.0,76,32.81502
-1.0,73,32.834876
0.0,84,32.857665
0.0,76,32.878529
-1.0,82,32.900821
1.0,77,32.921701
0.0,74,32.941812
0.0,70,33.376865
0.0,90,33.40183
0.0,99,33.428466
0.0,52,33.442796
1.0,104,33.471179
0.0,82,33.493333
-1.0,93,33.51854
0.0,65,33.537073
-1.0,78,33.55839
1.0,114,33.589662
-1.0,65,33.607476
0.0,81,33.629539
1.0,78,33.650746
0.0,101,33.677897
0.0,71,33.697204
1.0,84,33.719902
0.0,80,33.741755
-1.0,80,33.763417
0.0,91,33.788215
0.0,79,33.81014
-1.0,77,33.831515
0.0,78,33.852886
1.0,76,33.873596
-1.0,76,33.894236
0.0,80,33.916144
-1.0,77,33.937004
1.0,98,33.964438
2.0,102,33.992558
-1.0,85,34.016532
1.0,94,34.041899
0.0,81,34.063932
-1.0,74,34.084154
0.0,75,34.105117
-1.0,70,34.124374
1.0,81,34.146531
0.0,84,34.169427
2.0,115,34.200464
0.0,66,34.218405
1.0,105,34.246804
1.0,93,34.272351
0.0,75,34.292937
0.0,72,34.312378
0.0,83,34.334694
0.0,80,34.356297
1.0,72,34.37595
0.0,80,34.397532
0.0,87,34.420925
-1.0,87,34.444397
1.0,102,34.47266
1.0,81,34.49587
1.0,113,34.527218
0.0,106,34.558826
0.0,68,34.577703
0.0,102,34.605209
0.0,81,34.627234
0.0,74,34.647341
0.0,69,34.66626
0.0,69,34.685135
-1.0,72,34.704739
1.0,78,34.725945
2.0,114,35.199783
0.0,70,35.219056
0.0,59,35.235282
1.0,89,35.259454
1.0,63,35.276921
1.0,70,35.295959
0.0,65,35.313733
0.0,74,35.333866
0.0,82,35.356316
-1.0,92,35.381182
1.0,105,35.409632
0.0,100,35.436877
-1.0,62,35.453966
0.0,71,35.473347
-1.0,58,35.489282
1.0,86,35.512578
1.0,104,35.540702
1.0,81,35.562724
-1.0,65,35.580494
0.0,69,35.599314
-1.0,72,35.619033
0.0,58,35.63493
-1.0,80,35.656702
0.0,82,35.679127
1.0,106,35.708454
-1.0,83,35.731187
-1.0,83,35.753744
0.0,82,35.776084
1.0,80,35.798397
-1.0,73,35.818337
0.0,85,35.84181
1.0,79,35.863868
1.0,67,35.882519
0.0,67,35.900833
0.0,94,35.926351
2.0,97,35.952547
1.0,103,35.980678
0.0,88,36.004466
0.0,90,36.029363
-1.0,77,36.050371
3.0,102,36.07803
-1.0,76,36.098769
1.0,70,36.117884
-1.0,63,36.135131
-1.0,72,36.15488
-1.0,61,36.171661
0.0,76,36.192309
0.0,74,36.212433
-1.0,66,36.230699
0.0,100,36.257764
-1.0,73,36.277612
1.0,93,36.302823
0.0,89,36.327018
-1.0,56,36.342428
0.0,82,36.364843
-1.0,66,36.38288
2.0,107,36.412038
3.0,113,36.442955
1.0,80,36.464781
0.0,67,36.483
0.0,75,36.503441
0.0,90,36.52775
0.0,91,36.928669
1.0,110,36.959842
-1.0,82,36.982469
1.0,85,37.005593
0.0,82,37.02782
-1.0,57,37.043495
1.0,79,37.065002
-1.0,53,37.079557
0.0,78,37.100648
0.0,69,37.119537
0.0,74,37.139844
0.0,93,37.165215
0.0,85,37.188246
0.0,95,37.213957
1.0,81,37.23607
-1.0,75,37.256416
1.0,101,37.28378
0.0,56,37.303264
-1.0,70,37.324974
0.0,73,37.345006
0.0,70,37.364245
0.0,71,37.383885
-1.0,60,37.400652
1.0,80,37.422517
0.0,95,37.448113
0.0,86,37.471383
1.0,73,37.49145
-1.0,76,37.512103
-1.0,73,37.532009
2.0,105,37.560312
